panel,category,title,figure_generated,csv_generated,session_if_example,unit_if_example,notebook
Figure4a,3_cartoon_no_csv,Dynamic foraging task structure,,,,,
Figure4b,2_example_regeneration,"Example session: mouse choices, rewards, and changing reward probabilities over trials (mZS061d20210408)",Yes,Yes,mZS061d20210408,,F_ephys_behavior_examples
Figure4c,1_matched_to_code,Choice-history logistic regression coefficients (errorbar plot),Yes,Yes,,,F_behavior_w_FP
Figure4d,3_cartoon_no_csv,LC-NE optotagging recording strategy,,,,,
Figure4e,1_matched_to_code,"Example extracellular spiking around two trials (time series, raster)",Yes,Yes,,,F_cross_correlation
Figure4f,2_example_regeneration,Example go-cue-aligned spike raster sorted by first spike after go cue (raster),Yes,Yes,751766_2025-02-14_11-37-11,36,F_ephys_behavior_examples
Figure4g,1_matched_to_code,Go-cue spike rate versus baseline spike rate (scatter),Yes,Yes,,,F_ephys_behavior_action&outcome
Figure4h,1_matched_to_code,Go-cue excitation versus go-baseline correlation (scatter),Yes,Yes,,,F_basic_ephys
Figure5a,1_matched_to_code,Respond-vs-ignore dependence on reward history (errorbar plot),Yes,Yes,,,F_ephys_behavior_examples
Figure5b,1_matched_to_code,Pre-respond versus pre-ignore spike rates (scatter),Yes,Yes,,,F_ephys_behavior_action&outcome
Figure5c,1_matched_to_code,Respond-vs-ignore encoding mapped in LC (scatter),Yes,Yes,,,F_ephys_behavior_action&outcome
Figure5d,1_matched_to_code,"Respond-vs-ignore encoding along axonal-projection and gene-expression axes (scatter, regression)",Yes,Yes,,,F_spatial-axis-comparison
Figure5e,1_matched_to_code,Switch-vs-stay dependence on reward and choice history (errorbar plot),Yes,Yes,,,F_behavior_w_FP
Figure5f,1_matched_to_code,Switch versus stay spike rates after go cue (scatter),Yes,Yes,,,F_ephys_behavior_action&outcome
Figure5g,1_matched_to_code,Switch-vs-stay encoding mapped in LC (scatter),Yes,Yes,,,F_ephys_behavior_action&outcome
Figure5h,1_matched_to_code,"Switch-vs-stay encoding along axonal-projection and gene-expression axes (scatter, regression)",Yes,Yes,,,F_spatial-axis-comparison
Figure5i_left,3_cartoon_no_csv,Frontal-cortex LC-NE axon photometry strategy,,,,,
Figure5i_right,2_example_regeneration,Example LC-NE axonal GCaMP signal in frontal cortex during behavior (time series),Yes,Yes,m754896d20250108,,F_photometry_examples
Figure5i_right,1_matched_to_code,,Yes,Yes,,,F_photometry_examples
